"sched_operator","al_flights","al_pax","al_seats_av"
"Air Caledonie International",891,119882,159196
"Air Canada",1430,321513,408382
"Air China",2030,394080,532098
"Air India",729,152449,186624
"Air Mauritius",237,53929,66150
"Air New Zealand",15113,2554878,3220597
"Air Niugini",2523,183691,329873
"Air Vanuatu",800,90996,136000
"AirAsia X",5492,1640413,2070484
"AirAsiaX",730,219029,275210
"All Nippon Airways",730,132363,160050
"American Airlines",699,179084,216690
"Asiana Airlines",694,161189,210282
"Batik Air Indonesia (a)",37,3793,5772
"Beijing Capital Airlines (b)",236,40671,52392
"British Airways",723,180319,214731
"Cathay Pacific Airways",7840,1806892,2073387
"Cebu Pacific Air",486,156161,211896
"China Airlines",2342,561282,710174
"China Eastern Airlines",3186,646949,780276
"China Southern Airlines",4848,1128109,1347330
"Delta Air Lines",700,177671,203700
"Emirates",11238,3638548,4977036
"Etihad Airways",4254,1244078,1575662
"Eva Air",430,83824,108360
"Fiji Airways",3007,465917,570564
"Garuda Indonesia",3250,637010,755214
"Hainan Airlines (d)",602,121724,150500
"Hawaiian Airlines",1064,232577,302088
"Hong Kong Airlines",362,72309,105686
"Indonesia AirAsia",2712,404574,488160
"Indonesia AirAsia Extra (e)",210,63635,79170
"Japan Airlines",730,144749,168909
"Jetstar",17668,3562163,4268030
"Jetstar Asia",1784,246020,321120
"Jin Air (f)",31,11188,12121
"Korean Air",1212,307177,364154
"LATAM Airlines",707,163312,213729
"Malaysia Airlines",4650,933047,1217956
"Malindo Air",1397,154707,227268
"Nauru Airlines",380,18696,41472
"Philippine Airlines",2288,344089,529492
"Qantas Airways",32438,6722105,8321954
"Qatar Airways",2758,828954,1035826
"Royal Brunei Airlines",725,131641,184150
"Scoot",2264,643229,828770
"Sichuan Airlines",518,103097,139222
"Silk Air",787,93311,127494
"Singapore Airlines",13883,3181868,3877783
"Solomon Airlines",456,35905,62016
"South African Airways",724,150004,195338
"Thai Airways International",4066,1011307,1271247
"Tigerair Australia (g)",1056,163715,190080
"United Airlines",2149,440017,541136
"Vietnam Airlines",1482,329961,431059
"Virgin Australia",15892,2334963,3083115
"Virgin Samoa",345,43815,60708
"Xiamen Airlines",854,146343,201554
