"sched_operator","service_to_from","inb_flights","inb_pax","inb_seats_avail","out_flights","out_pax","out_seats_avail"
"Air Caledonie International","New Caledonia",446,59079,79592,445,60803,79604
"Air Canada","Canada",715,161289,204029,715,160224,204353
"Air China","China",1015,191427,266049,1015,202653,266049
"Air India","India",365,80612,93440,364,71837,93184
"Air Mauritius","Mauritius",118,26774,32925,119,27155,33225
"Air New Zealand","Cook Islands",53,9000,13086,53,10634,13101
"Air New Zealand","New Zealand",7515,1274320,1597740,7492,1260924,1596670
"Air Niugini","Papua New Guinea",1264,90250,165316,1259,93441,164557
"Air Vanuatu","Vanuatu",400,45889,68000,400,45107,68000
"AirAsia X","Malaysia",2746,848782,1035242,2746,791631,1035242
"AirAsiaX","New Zealand",365,103348,137605,365,115681,137605
"All Nippon Airways","Japan",365,65788,80025,365,66575,80025
"American Airlines","USA",349,90934,108190,350,88150,108500
"Asiana Airlines","Korea",347,79184,105141,347,82005,105141
"Batik Air Indonesia (a)","Indonesia",19,1243,2964,18,2550,2808
"Beijing Capital Airlines (b)","China",118,20527,26196,118,20144,26196
"British Airways","UK",362,91596,107514,361,88723,107217
"Cathay Pacific Airways","Hong Kong (SAR)",3923,902650,1037550,3917,904242,1035837
"Cebu Pacific Air","Philippines",243,82426,105948,243,73735,105948
"China Airlines","New Zealand",519,118255,159312,519,125660,159312
"China Airlines","Taiwan",652,156158,195775,652,161209,195775
"China Eastern Airlines","China",1593,325047,390138,1593,321902,390138
"China Southern Airlines","China",2424,568034,673705,2424,560075,673625
"Delta Air Lines","USA",350,87542,101850,350,90129,101850
"Emirates","New Zealand",1459,489460,702567,1459,497518,702433
"Emirates","United Arab Emirates",4165,1362764,1786490,4155,1288806,1785546
"Etihad Airways","United Arab Emirates",2127,622306,787831,2127,621772,787831
"Eva Air","Taiwan",215,41791,54180,215,42033,54180
"Fiji Airways","Fiji",1502,232424,285066,1505,233493,285498
"Garuda Indonesia","Indonesia",1625,321813,377625,1625,315197,377589
"Hainan Airlines (d)","China",300,58576,75000,302,63148,75500
"Hawaiian Airlines","USA",532,115746,151044,532,116831,151044
"Hong Kong Airlines","Hong Kong (SAR)",180,37069,52551,182,35240,53135
