"service_to_from","al_flights","al_pax","al_seats_av"
"Brazil",1,192,364
"Brunei",725,131641,184150
"Canada",1520,347875,441120
"Chile",1111,288234,358836
"China",13399,2815056,3501316
"Cook Islands",106,19634,26187
"Fiji",5798,865373,1078380
"Guam",1,319,335
"Hong Kong (SAR)",11129,2599412,3109399
"India",729,152449,186624
"Indonesia",15528,2862565,3361561
"Japan",5351,1307434,1607943
"Korea",1937,479554,586557
"Malaysia",11539,2728167,3515708
"Mauritius",237,53929,66150
"Nauru",380,18696,41472
"New Caledonia",1312,179524,232238
"New Zealand",47310,7682825,9944934
"Papua New Guinea",4033,287052,550190
"Philippines",2902,587847,827485
"Qatar",2758,828954,1035826
"Singapore",23542,5238884,6422695
"Solomon Islands",662,49913,98236
"South Africa",1354,339717,421839
"Taiwan",1734,401191,499910
"Thailand",5988,1512421,1874141
"Tonga",208,25093,36596
"UK",2142,743741,901441
"United Arab Emirates",12705,3932949,5193991
"USA",11646,3091757,3770396
"Vanuatu",1157,141295,198820
"Vietnam",1580,357414,463889
"Western Samoa",345,43815,60708
